year,reviewer_id,book_title,book_author,score,n_pos,n_neg,n_total,pos_share,neg_share,sentiment_index
2024,R5,Феномен пропаганды,,6.666666666666667,0,0,0,,,
2024,R21,Сообщество как городская практика,,9.0,1,0,1,1.0,0.0,1.0
2024,R8,Типологический анализ в социологии как диагностическая процедура,,8.0,7,2,9,0.7777777777777778,0.2222222222222222,0.5555555555555556
2024,R9,Постсоветская молодежь: предварительные итоги,,8.875,8,0,8,1.0,0.0,1.0
2024,R7,Урбанизация по-китайски,,6.666666666666667,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2024,R5,Новая структурная трансформация публичной сферы и делиберативная политика,,7.333333333333333,3,1,4,0.75,0.25,0.5
2025,R10,Власть,,6.0,2,2,4,0.5,0.5,0.0
2025,R10,В плену у платформы,,5.0,0,5,5,0.0,1.0,-1.0
2024,R7,Городские миры России и Китая: модернизация и ее влияние,,6.5,0,0,0,,,
2025,R10,Расчет и мораль,,6.0,1,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2024,R8,Цифровой поворот в системе образования: социально-гуманитарный контекст,,7.0,7,7,14,0.5,0.5,0.0
2025,R1,Российское общественное мнение в условиях военного конфликта. 2022-2023,,9.0,11,0,11,1.0,0.0,1.0
2025,R1,"ВАКСИНА ОТ ИНФОДЕМИИ, ИЛИ ПСИХОЛОГИЧЕСКОЕ СОСТОЯНИЕ ОБЩЕСТВА НА ФОНЕ ПАНДЕМИИ, ВЫЗВАННОЙ COVID-19",,7.0,4,8,12,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2024,R9,ОБРАЗ БУДУЩЕГО В ПРИЗМЕ СОЦИОЛОГИЧЕСКИХ ИЗМЕРЕНИЙ,,7.625,7,1,8,0.875,0.125,0.75
2024,R19,Зум и безумие в высшей школе. Как образование становится цифровым,,8.0,8,2,10,0.8,0.2,0.6
2024,R21,Социальные порядки и экономические реформы (теория),,7.0,1,3,4,0.25,0.75,-0.5
2024,R9,Как россияне справляются с новым кризисом: социально-экономические практики,,7.375,10,0,10,1.0,0.0,1.0
2025,R1,Моногород в движении. Опыт исследования мобильностей,,8.0,8,2,10,0.8,0.2,0.6
2024,R8,Социологические теории сегодня,,6.0,5,8,13,0.38461538461538464,0.6153846153846154,-0.23076923076923078
2024,R8,Городские миры России и Китая: модернизация и ее влияние,,7.0,0,0,0,,,
2025,R13,Мыслители города ветров. Прагматистская социальная наука в Чикаго в первой половине ХХ в.,,8.0,3,1,4,0.75,0.25,0.5
2024,R3,Зум и безумие,,5.0,0,3,3,0.0,1.0,-1.0
2025,R13,Советская повседневность. Исторический и социологический аспекты становления,,7.0,1,5,6,0.16666666666666666,0.8333333333333334,-0.6666666666666666
2025,R10,Об интегральном измерении,,1.0,0,0,0,,,
2023,R3,Что мы знаем о фрилансерах? Социология свободной занятости,,8.375,7,2,9,0.7777777777777778,0.2222222222222222,0.5555555555555556
2024,R19,Пережитки большой войны,,7.0,2,4,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2025,R13,Кроличьи тропы: Введение в социологию,,7.0,1,1,2,0.5,0.5,0.0
2025,R14,(Моно)город в движении. Опыт исследования мобильностей,,8.0,2,7,9,0.2222222222222222,0.7777777777777778,-0.5555555555555556
2025,R11,Кроличьи тропы: введение в социологию,,6.5,2,3,5,0.4,0.6,-0.2
2025,R1,Пол и секуляризм,,6.0,3,5,8,0.375,0.625,-0.25
2025,R11,Советская повседневность исторический и социологический аспекты становления,,8.4,3,1,4,0.75,0.25,0.5
2025,R13,Как мы жили в СССР?,,8.0,1,3,4,0.25,0.75,-0.5
2025,R14,Российский университет как транслятор культуры: Реформы. Коррупция. Риски: монография,,7.5,0,5,5,0.0,1.0,-1.0
2025,R11,Экономика усыновления: стратегия выживания малых сел,,8.0,6,2,8,0.75,0.25,0.5
2024,R18,"Путевка в жизнь: Социологические эссе об образовании, классовом неравенстве и социальном исключении в России",,10.0,1,0,1,1.0,0.0,1.0
2024,R18,Новая структурная трансформация публичной сферы и делиберативная политика (перевод),,7.0,3,2,5,0.6,0.4,0.2
2024,R18,Теория коммуникативной деятельности (перевод),,9.0,3,2,5,0.6,0.4,0.2
2024,R17,"Путевка в жизнь: Социологические эссе об образовании, классовом неравенстве и социальном исключении в России",,8.7,10,0,10,1.0,0.0,1.0
2024,R17,Типологический анализ в социологии как диагностическая процедура,,8.3,8,0,8,1.0,0.0,1.0
2025,R15,Интернет и города России,,8.0,5,3,8,0.625,0.375,0.25
2025,R15,"Война, мир и книги",,6.0,2,6,8,0.25,0.75,-0.5
2025,R16,ЖИЗНЬ В ПУСТОТЕ,,9.375,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2025,R16,ПОГОНЯ ЗА ВЕЛИЧИЕМ: Тысячелетний диалог России с Западом,,9.5,0,0,0,,,
2025,R4,Умо-зрение. Устройство и социальная жизнь городов,,8.0,3,3,6,0.5,0.5,0.0
2025,R11,Промыслы российской провинции: неформальные экономические практики населения,,8.0,7,2,9,0.7777777777777778,0.2222222222222222,0.5555555555555556
2025,R2,HISTORICITY: городские исследования и история современности,,7.0,3,1,4,0.75,0.25,0.5
2025,R3,«Потенциальный Дальний Восток: как расцветают и угасают проекты развития в самом большом регионе России»,,7.0,6,0,6,1.0,0.0,1.0
2025,R15,«Работа мечты». За кулисами индустрии моды,,7.0,2,3,5,0.4,0.6,-0.2
2025,R16,Как мы жили в СССР,,9.0,2,3,5,0.4,0.6,-0.2
2025,R5,Империя и коммуникации и другие работы,,8.0,3,1,4,0.75,0.25,0.5
2025,R4,От команд к узлам. Теоретико-деятельностные исследования сотрудничества и обучения в процессе труда.,,8.0,1,4,5,0.2,0.8,-0.6
2025,R5,В плену у платформы. Как нам вернуть себе интернет,,6.0,5,4,9,0.5555555555555556,0.4444444444444444,0.1111111111111111
2025,R2,Обуздание негативного. Критика современности,,8.0,0,0,0,,,
2025,R5,Этика искусственного интеллекта: Кейсы и варианты решения этических проблем,,6.0,2,5,7,0.2857142857142857,0.7142857142857143,-0.42857142857142855
2025,R5,Умо-зрение: Устройство и социальная жизнь городов,,8.0,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2025,R2,Неравенство равных Концепция и феномен ресентимента,,7.0,4,4,8,0.5,0.5,0.0
2025,R17,Альманах «Исследуя сообщество глухих: 1»,,9.0,7,1,8,0.875,0.125,0.75
2025,R6,"Самоорганизация граждан, благотворительность и третий сектор: теории, история и современные тенденции [Текст]",,7.0,4,5,9,0.4444444444444444,0.5555555555555556,-0.1111111111111111
2025,R8,Современные социологические теории: Как не заблудиться в концептуальном лабиринте?,,8.0,1,1,2,0.5,0.5,0.0
2025,R8,Мыслители города ветров. Прагматистская социальная наука в Чикаго в первой половине XX века.,,7.0,1,1,2,0.5,0.5,0.0
